event1 event2 CC dt_sec evla_eq1 evlo_eq1 evdp_eq1_km evla_eq2 evlo_eq1 evdp_eq2_km  
20041228111724 20050312223303 0.93   -5.10480   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050313221239 0.86   -7.94890   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050319030048 0.90    1.36030   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050325010447 0.97   -6.60230   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050330231704 0.94   -7.17460   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050331142719 0.91   -5.94850   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050404193653 0.89   -1.68520   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050410022416 0.89   -2.29020   1.01  97.17  30.00   1.56  97.35  33.00
20041228111724 20050419052135 0.90   -8.08610   1.01  97.17  30.00   1.95  97.80  48.30
20041228111724 20050425013429 0.92   -2.42410   1.01  97.17  30.00   0.40  97.25  33.00
20041228111724 20050510062411 0.90   -6.45370   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050512160415 0.89   -3.79600   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050521230103 0.86   -3.98990   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050523144524 0.86   -5.87850   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050525070236 0.91   -3.55000   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050531022923 0.86   -4.37700   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050617023732 0.86   -9.16770   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050624214454 0.88   -3.64120   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050704043436 0.85   -1.62460   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050802005916 0.93   -6.55290   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050802205630 0.90   -6.31620   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050826003645 0.89   -5.24480   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050828044331 0.88   -4.99890   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050910165730 0.87   -1.80820   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050920145937 0.89   -0.96580   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20051003220918 0.88   -6.45890   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20051004122319 0.88   -6.55290   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20051011150522 0.91   -0.84050   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20051013150317 0.90   -3.05700   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20051210114139 0.86   -4.15570   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20051211010457 0.85   -0.34310   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20060919203930 0.90   -3.77250   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20061012053020 0.91   -2.38800   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20061022023816 0.87   -3.33230   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20061102151234 0.90    0.47240   1.01  97.17  30.00   1.18  97.28  35.00
20041228111724 20061118135509 0.89   -5.28330   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20061125180809 0.85   -5.39600   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20070713132310 0.92   -7.19110   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20071015091113 0.86    0.70800   1.01  97.17  30.00   1.25  97.65   9.80
20041228111724 20071122230153 0.90   -1.37940   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20071207080912 0.86   -5.43600   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20080316014044 0.90   -5.18650   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20080413145854 0.86   -5.75000   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20080513102900 0.97   -0.88920   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20080804194832 0.85   -5.97560   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20081006124349 0.95   -5.46460   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20090117043825 0.86   -0.16630   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20090312100453 0.86   -4.25500   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20090324043535 0.95   -4.52460   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20091111133402 0.89   -5.37050   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20100210012134 0.90   -6.21250   1.01  97.17  30.00   1.60  97.05  38.20
20041228111724 20100317094427 0.91    0.27220   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20100602020442 0.85   -6.11810   1.01  97.17  30.00   1.01  97.17  30.00
