station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
H08S2,2005-04-02T05:55:04.58,2005-09-27T16:52:21.75,"[-1.6977006451101107, -1.6029739951845055]","[-1.2763466840424544, -1.2684876682615005]","[-0.8618958259351938, -0.9295427221018856]","[0.7629339202357931, 0.608204154464021]","[0.9203373986418257, 0.8044865491454483]","[0.5639460234922757, 0.7294188726287063]","[-1.2763466840424544, -1.2684876682615005]"
H08S2,2005-04-02T05:55:04.58,2006-04-22T00:07:21.21,"[-4.798129026015127, -4.703090532578501]","[-4.378843395131241, -4.372402460428453]","[-3.9667610620857747, -4.034302483204569]","[0.6472740104903058, 0.6004925504132457]","[0.8328904655994814, 0.6998293688104663]","[0.5789975340737421, 0.5366695200985685]","[-4.378843395131241, -4.372402460428453]"
H08S2,2005-04-02T05:55:04.58,2008-09-29T20:21:36.91,"[-2.9986956267467058, -2.9026338312670568]","[-2.5794724519753736, -2.5747411345179083]","[-2.162276874632673, -2.2437674030658523]","[0.6304545480446695, 0.781948907714534]","[0.9254215271359003, 0.899101299862732]","[0.6524451345495917, 0.7111909109303278]","[-2.5794724519753736, -2.5747411345179083]"
H08S2,2005-04-02T05:55:04.58,2012-01-22T00:55:37.91,"[-1.2255768549294617, -1.092423426150553]","[-0.80754152694591, -0.7622129488020991]","[-0.3949758836504815, -0.428197500413224]","[0.5427871348985644, 0.4958451652383599]","[0.8173727492266063, 0.7109081731706273]","[0.6388114602710013, 0.7311924886776706]","[-0.80754152694591, -0.7622129488020991]"
H08S2,2005-04-02T05:55:04.58,2013-01-01T20:05:00.64,"[-1.2987349083238708, -1.1931446792484042]","[-0.8813896010586005, -0.8665895294474063]","[-0.46843919410784307, -0.5373377333229727]","[0.6003326736055099, 0.5944228508722722]","[0.7929361401301498, 0.7977156963077572]","[0.5353450603275878, 0.7258940884125659]","[-0.8813896010586005, -0.8665895294474063]"
H08S2,2005-04-02T05:55:04.58,2015-07-22T00:12:05.95,"[-1.6072309021677162, -1.5016723786915422]","[-1.1845462147723609, -1.1703769629934557]","[-0.7712219210065401, -0.8340535212315004]","[0.6806712641298605, 0.6300049556953731]","[0.8565711888918349, 0.7576799139640691]","[0.5656065842784113, 0.6961723895309984]","[-1.1845462147723609, -1.1703769629934557]"
H08S2,2005-04-02T07:09:21.88,2005-04-12T09:56:38.9,"[-0.3002651321246794, -0.1878449719332562]","[0.15528253248025609, 0.12938010695372892]","[0.6268200778145115, 0.4468435621298182]","[0.7004983545189813, 0.6661556889365374]","[0.917099505806131, 0.8524802735803291]","[0.5166157444178584, 0.7459148606473424]","[0.15528253248025609, 0.12938010695372892]"
H08S2,2005-04-02T07:09:21.88,2005-06-10T20:02:07.04,"[-1.4081136961010703, -1.2929337198716009]","[-0.9492780733552403, -0.9683947859734964]","[-0.48938788990205745, -0.6468140143578092]","[0.6463514541616739, 0.6755251223022689]","[0.9351247736853197, 0.7928904887891361]","[0.6112160865986384, 0.6091016653451208]","[-0.9492780733552403, -0.9683947859734964]"
H08S2,2005-04-02T07:09:21.88,2005-07-10T07:38:48.95,"[-0.14527480232546167, -0.007962726759974824]","[0.30481945660381804, 0.31390329926913996]","[0.7679563372255037, 0.6361370012809744]","[0.5582263989748983, 0.5297892099681896]","[0.9082392247318845, 0.7948881054933293]","[0.6627311062028236, 0.7607318827603469]","[0.30481945660381804, 0.31390329926913996]"
H08S2,2005-04-02T07:09:21.88,2005-09-23T05:18:51.18,"[-1.9504823112812002, -1.8150430197667515]","[-1.4940384594896565, -1.4852849148765344]","[-1.031884992554272, -1.1555655466293355]","[0.6004862657424023, 0.5573419454152809]","[0.9328986579242295, 0.758399699357546]","[0.6198604577734124, 0.7129388481285005]","[-1.4940384594896565, -1.4852849148765344]"
H08S2,2005-04-02T07:09:21.88,2008-10-11T12:32:29.98,"[-2.4776915478988255, -2.35150543241857]","[-2.0228240707847136, -2.0230397261980495]","[-1.5626380852000443, -1.6969674042586713]","[0.5323430583831454, 0.5542081214999899]","[0.8855144138803781, 0.7351377907722874]","[0.6271231575017499, 0.6369491375781592]","[-2.0228240707847136, -2.0230397261980495]"
H08S2,2005-04-02T07:09:21.88,2009-09-05T08:19:35.3,"[-2.316716557526377, -2.177408663774607]","[-1.851405104169289, -1.8462274885468513]","[-1.3957013363252548, -1.5120309587211238]","[0.640324215783718, 0.6506126435158616]","[0.933224042608049, 0.7197103698438391]","[0.6475783223149971, 0.5499813599824693]","[-1.851405104169289, -1.8462274885468513]"
